tic_id,candidate_number,period,t0,duration_days,duration_hours,depth,depth_ppm,snr,n_transits,bls_power,tls_sde,bls_fap,tier,snr_category,TIC_ID,r_star,t_eff,crowdsap,stellar_activity_flag,vetting_passed,hard_rejection_cause,batman_fit,multiplicity_boost_applied,notes,class_label,confidence_planet,confidence_eb,confidence_blend,confidence_other,period_days,period_err,T0_btjd,T0_err,duration_err,depth_err,sde,Rp_Rs,Rp_Rs_err,a_Rs,a_Rs_err,impact_param,r_planet_earth,r_planet_err,orbital_distance_AU,t_eq_kelvin,odd_even_sigma,secondary_sigma,centroid_shift_arcsec,duration_ratio,flat_bottom_ratio
29778225,4,0.700385,1325.508899,0.075000,1.800000,0.001916,1915.958566,72.928235,39,27808.406767,0.000000,1.000000,false_positive,high,29778225,1.893120,6303.000000,0.985373,False,False,ECLIPSING_BINARY_ODD_EVEN,False,False,,ECLIPSING_BINARY_ODD_EVEN,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30531417,5,0.658066,1325.431329,0.040000,0.960000,0.097915,97915.140936,71.602938,42,1152827.439542,0.000000,1.000000,false_positive,high,30531417,4.440520,8170.000000,0.969045,True,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30531417,1,0.657846,1325.383829,0.075000,1.800000,0.108563,108563.240965,70.457086,42,3199362.090448,0.000000,1.000000,false_positive,high,30531417,4.440520,8170.000000,0.969045,True,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25226885,2,1.631771,1325.893404,0.027191,0.652594,0.039170,39170.440598,66.754804,17,13349.092132,16.445290,1.000000,false_positive,high,25226885,1.528120,6222.000000,0.895186,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29986808,1,1.058744,1325.641220,0.047227,1.133455,0.003006,3005.620042,65.723256,27,1884.604122,16.464314,1.000000,false_positive,high,29986808,1.263670,6276.000000,0.986599,False,False,ECLIPSING_BINARY_ODD_EVEN,False,False,,ECLIPSING_BINARY_ODD_EVEN,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25372748,4,0.530733,1325.473346,0.075000,1.800000,0.013844,13843.865751,64.758512,52,256934.280226,0.000000,1.000000,false_positive,high,25372748,1.569290,5351.000000,0.986852,False,False,ECLIPSING_BINARY_ODD_EVEN,False,False,,ECLIPSING_BINARY_ODD_EVEN,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25243422,1,1.918980,1326.422543,0.216968,5.207232,0.014061,14060.844752,64.147534,14,13129.084285,6.894914,1.000000,false_positive,high,25243422,0.278410,3138.000000,0.996007,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25078924,5,0.907888,1325.392921,0.075000,1.800000,0.016855,16854.791015,62.045258,30,77894.789661,0.000000,1.000000,false_positive,high,25078924,1.217630,5737.000000,0.946844,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25243422,2,1.913318,1325.502872,0.179159,4.299807,0.013457,13456.726560,61.296812,15,7453.753833,10.142373,1.000000,false_positive,high,25243422,0.278410,3138.000000,0.996007,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30317282,4,1.396522,1326.305691,0.087764,2.106333,0.146306,146305.708058,60.074205,20,5729.709867,12.519969,1.000000,false_positive,high,30317282,1.000000,5778.000000,0.082970,True,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30531417,3,0.657846,1325.648829,0.065000,1.560000,0.083961,83961.374531,59.517302,42,1479278.843244,0.000000,1.000000,false_positive,high,30531417,4.440520,8170.000000,0.969045,True,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25372748,1,1.055994,1326.011885,0.116855,2.804512,0.014969,14969.038746,56.885027,26,456792.614318,7.108606,1.000000,false_positive,high,25372748,1.569290,5351.000000,0.986852,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29778225,3,1.401195,1326.081054,0.128726,3.089430,0.001770,1770.127290,56.270267,20,20248.455125,12.500679,1.000000,false_positive,high,29778225,1.893120,6303.000000,0.985373,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29778225,5,0.700619,1325.976400,0.075000,1.800000,0.001743,1742.566552,55.947159,39,14036.326923,0.000000,1.000000,false_positive,high,29778225,1.893120,6303.000000,0.985373,False,False,ECLIPSING_BINARY_ODD_EVEN,False,False,,ECLIPSING_BINARY_ODD_EVEN,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29257288,1,0.893486,1325.687476,0.097709,2.345015,0.005830,5829.717644,54.320622,31,2177.478568,9.652848,1.000000,false_positive,high,29257288,0.247312,3258.000000,0.843377,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29257288,2,0.893105,1326.140915,0.086951,2.086823,0.005678,5677.713886,52.681650,31,2481.145631,12.570512,1.000000,false_positive,high,29257288,0.247312,3258.000000,0.843377,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
31381302,4,0.660931,1325.836183,0.075000,1.800000,0.005828,5828.454188,52.384516,42,1471.219821,0.000000,1.000000,false_positive,high,31381302,0.140898,2836.000000,0.834294,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25200252,1,2.413085,1326.426523,0.252087,6.050093,0.003197,3197.382722,51.879621,12,1644.437867,8.124168,1.000000,false_positive,high,25200252,0.264868,3223.000000,0.959201,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25132314,2,2.104928,1327.232056,0.209412,5.025876,0.000793,793.005557,51.111832,13,2179.944911,9.222867,1.000000,false_positive,high,25132314,1.877340,6867.000000,0.999709,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30312711,1,1.478635,1326.060322,0.160317,3.847605,0.008150,8150.355216,50.423146,19,895.966885,6.999963,1.000000,false_positive,high,30312711,1.000000,5778.000000,0.291189,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25200252,2,2.410109,1327.685228,0.244928,5.878272,0.002955,2954.971925,49.382634,11,931.312181,10.003109,1.000000,false_positive,high,25200252,0.264868,3223.000000,0.959201,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25372748,2,1.061506,1325.385326,0.100292,2.407006,0.012771,12771.275734,49.280681,27,311041.011961,18.312379,1.000000,false_positive,high,25372748,1.569290,5351.000000,0.986852,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25132314,1,2.108693,1326.168499,0.234271,5.622495,0.000769,768.548118,47.606040,13,3855.547873,6.109606,1.000000,false_positive,high,25132314,1.877340,6867.000000,0.999709,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
