TIC_ID,candidate_number,depth,period,duration,snr,n_transit,flat_bottom_ratio,ingress_symmetry,odd_even_sigma,secondary_depth_ratio,impact_param_proxy,chi2_ratio,oot_rms,centroid_shift,r_star,t_eff,crowdsap,r_planet_earth,t_eq,duration_ratio
8195886,1,0.00022491514188704986,3.134102069714234,5.4598170766505,8.723343507085428,9.0,0.14823257189944677,0.02248139483436988,2.4069977282750115,0.0,0.0,1.0815745024923578,0.0009839982332920825,,1.12254,5704.0,0.98678493,1.8362862225468597,1283.4275788464515,1.8609303388704157
8196058,1,0.0011655875162952525,9.452770599258434,1.7999999999999998,21.928128117199318,2.0,0.5671981323221474,0.4914879514442081,,0.06575588974848355,0.9980491565128914,1.0835738471413348,0.0006726264522292586,,14.18470001,4686.0,0.99074697,52.82284671118926,1880.2703501539436,0.062433013573798685
8196058,2,0.0003854462046766168,0.9797664430749111,1.7999999999999998,20.815744180510695,28.0,0.8817519874461167,0.09324034251615937,0.4831091395502212,0.7515622119176326,0.9882110558014605,1.1610995169227531,0.000686075322014783,,14.18470001,4686.0,0.99074697,30.37604625940537,4002.817750300001,0.15309771125579494
8196058,3,0.0007076359017604402,3.3799678923490477,1.7999999999999998,20.868826883192018,8.0,0.6263474859111924,0.340242398446449,0.6739383390559266,0.06523756630235994,0.996867294592741,1.147444158068777,0.0006767628741862206,,14.18470001,4686.0,0.99074697,41.15800238272975,2649.125169935202,0.07909233193773721
8196058,4,0.0009162856561748226,6.21673627176003,1.7999999999999998,19.827354373361533,4.0,0.5046761914009671,0.3567594706525287,2.839657964698005,0.0,0.9975325013882735,1.0903473875239234,0.0006778530682046524,,14.18470001,4686.0,0.99074697,46.83438294628646,2162.1501787675056,0.07020618686450722
8196058,5,0.0003615219246779853,0.9784576411549174,1.7999999999999998,19.809237127306698,28.0,0.645106859839413,0.2229520771412106,0.4618356613442639,1.0187168179092205,0.988179307761262,1.0976022924694946,0.0006802147645513837,,14.18470001,4686.0,0.99074697,29.4182394694393,4004.601701282926,0.15330249741107674
8196285,1,0.0004819495422711477,10.500341410969376,1.7999999999999998,9.524559430476934,2.0,0.5758895155286404,-0.6745821433992424,,0.008784275349350402,0.9589751912804758,1.0552313265746402,0.0006363172464119753,,1.87911999,5961.39990234,0.9790476,4.4997097606371455,1078.835599921094,0.28349000424807735
8196324,1,0.0006869225627509357,10.590914704585865,1.0324238884117116,8.53042746265481,3.0,,,,0.0,0.9535777491167784,1.043788452945946,0.0007597953867721808,,0.725169,4931.0,0.99278635,2.073109893967162,653.1474325982721,0.30114693488292144
24195569,1,0.004125571067754019,4.379344659056524,1.258450815492332,8.12848238803419,7.0,0.5827954609052617,0.31429838327669896,0.3211195612718099,0.17082529476084407,0.7173622423728333,1.0645432230876777,0.007278342942544836,,0.36107901,3437.0,0.75650603,2.529725990150507,513.8456721572178,0.6967003754971145
24195569,2,0.0014292528225761103,1.262350368859816,2.201036452747063,7.050415571185178,22.0,0.09705596493177762,-0.12497051764361802,0.5531255218026788,0.5789858145684768,0.0,1.0563811251098403,0.007307484637185643,,0.36107901,3437.0,0.75650603,1.488970095909769,777.8737353909411,1.8408193528876498
24195569,3,0.005111880796304424,8.203120713358304,1.2568163624823463,7.4036651299432545,3.0,0.6000000000000115,-0.9681111850306299,,0.10767518812850593,0.8253613138680409,1.0298716932009238,0.007288340775766309,,0.36107901,3437.0,0.75650603,2.8159296798727578,416.8463894950315,0.5646049074972881
24195690,1,0.0003115879975364999,2.722182523296145,7.272011713146783,18.57978536129921,10.0,0.41757408049868217,0.5437812903118696,2.3459446842124576,0.4847142251415589,0.0,1.354665746725507,0.0007658732679380768,,1.37413001,6734.0,0.98177975,2.6457413671511874,1686.7808462791238,2.299467716907364
24195690,2,0.0005841715358477773,12.514679639333403,3.4667415696204875,11.641726898243238,3.0,0.6073274555484707,-0.3115263554126123,,0.0,0.7499614668809118,1.0446888535699173,0.0007673353888327094,,1.37413001,6734.0,0.98177975,3.622657061877721,1014.4356329790313,0.6614815176509704
24195690,3,0.00024653726207346516,5.471715176732998,9.420608860406615,10.987282469744029,5.0,0.40152610298838715,-0.18117215419259888,0.8354970965948835,0.0,0.0,1.0906844570106908,0.0007693831934507155,,1.37413001,6734.0,0.98177975,2.3534138877759223,1336.5644753826002,2.3659261834962244
24195690,4,0.0002564270053408545,1.0769490948147198,1.7999999999999998,10.038431475712198,25.0,0.9335931777642628,0.35872706590569103,0.08903603176725206,0.0,0.6406463351942786,1.1425379959528363,0.000767465543998394,,1.37413001,6734.0,0.98177975,2.4001528939258705,2297.731877729109,0.7678360978764543
24195690,5,0.0004975428008169324,5.419826482327362,1.7999999999999998,8.447337454742435,5.0,0.6000000000000012,0.453344912045155,2.5238640752222796,0.0,0.8912624553310389,1.0259874576052732,0.0007690794350834968,,1.37413001,6734.0,0.98177975,3.3432761557868265,1340.8162985380848,0.4534878561960484
24231627,1,0.0012271253011320485,6.018448537284334,1.7999999999999998,17.10077061910921,4.0,0.6034540562673594,-0.6760052999986697,0.11189487961357848,0.0,0.8632873821659819,1.2196246376670148,0.0009661793540955284,,1.11249995,6211.0,0.99410743,4.250829234092235,1112.7144752095653,0.5047126863800888
24231627,2,0.0010106572100639921,8.4354752657932,5.676115291990094,21.608296951922004,3.0,0.46723894170517544,0.3179952271640545,,0.0,0.0,1.2943869223966968,0.0009627838842507636,,1.11249995,6211.0,0.99410743,3.8577239092037687,994.2800743214335,1.422676101649115
24231627,3,0.0005399633114513414,3.778989372529711,7.178870376040345,22.3636158310564,8.0,0.4600025879636842,0.06190879299536438,0.46700618560324986,0.6990589831678834,0.0,1.1453281316108528,0.0009680366370884226,,1.11249995,6211.0,0.99410743,2.819754701408129,1299.4314229393765,2.348666538890492
24231627,4,0.0016724231260580869,11.859548731269578,1.5031944169816542,10.397843784976082,2.0,0.6,-0.5888927590674198,,0.0,0.941720341521032,1.0805320955347795,0.0009716488387997004,,1.11249995,6211.0,0.99410743,4.962520176657181,887.5425854271746,0.33639678709154003
24231627,5,0.0003940571645417723,5.601680077116249,10.469726940609721,12.606403439785554,5.0,0.470884453832807,0.3736414799914028,0.11559182860704983,0.0,0.0,1.0629414000614228,0.000980757674631699,,1.11249995,6211.0,0.99410743,2.408844787571596,1139.6526052080933,3.006436086951565
24265684,1,0.0003507593491556271,8.992656273128722,3.548366577353168,20.638202574365458,4.0,0.6328191412340837,0.21572307716851524,0.3594580613946779,0.19857071305769053,0.7604886189115165,1.1747523291761395,0.0003350703749528074,,1.65951002,6228.33007813,0.97158486,3.3901093747288233,1129.9029162515553,0.6493512612646981
24265684,2,5.912963465586414e-05,0.6168591924342941,1.6800000000000002,8.000103116688381,44.0,0.6971345684802107,-0.0981013963680262,2.2426785206642865,0.0,0.6922920341380538,1.0754717514532766,0.00034256079107975417,,1.65951002,6228.33007813,0.97158486,1.3919116828753038,2760.207810434048,0.7216174467603979
24265684,3,0.00019399718302437474,10.277112058219059,3.4667325910501923,7.412738666902237,2.0,0.6216104919888515,0.2606529831033506,,0.0,0.7947765411116098,1.0349198246041444,0.0003423072456811705,,1.65951002,6228.33007813,0.97158486,2.5211970721012826,1080.7206008178894,0.6069021747354887
